//RAW DATA DO NOT USE
ZackandMiriMakeaPorno ,Romance ,TheWeinsteinCompany ,70 ,1.747541667 ,64 ,$41.94 ,2008
YouthinRevolt ,Comedy ,TheWeinsteinCompany ,52 ,1.09 ,68 ,$19.62 ,2010
YouWillMeetaTallDarkStranger ,Comedy ,Independent ,35 ,1.211818182 ,43 ,$26.66 ,2010
WheninRome ,Comedy ,Disney ,44 ,0 ,15 ,$43.04 ,2010
WhatHappensinVegas ,Comedy ,Fox ,72 ,6.267647029 ,28 ,$219.37 ,2008
WaterForElephants ,Drama ,20thCenturyFox ,72 ,3.081421053 ,60 ,$117.09 ,2011
WALL-E ,Animation ,Disney ,89 ,2.896019067 ,96 ,$521.28 ,2008
Waitress ,Romance ,Independent ,67 ,11.0897415 ,89 ,$22.18 ,2007
WaitingForForever ,Romance ,Independent ,53 ,0.005 ,6 ,$0.03 ,2011
Valentine'sDay ,Comedy ,WarnerBros. ,54 ,4.184038462 ,17 ,$217.57 ,2010
TylerPerry'sWhyDidIgetMarried ,Romance ,Independent ,47 ,3.7241924 ,46 ,$55.86 ,2007
Twilight:BreakingDawn ,Romance ,Independent ,68 ,6.383363636 ,26 ,$702.17 ,2011
Twilight ,Romance ,Summit ,82 ,10.18002703 ,49 ,$376.66 ,2008
TheUglyTruth ,Comedy ,Independent ,68 ,5.402631579 ,14 ,$205.30 ,2009
TheTwilightSaga:NewMoon ,Drama ,Summit ,78 ,14.1964 ,27 ,$709.82 ,2009
TheTimeTraveler'sWife ,Drama ,Paramount ,65 ,2.598205128 ,38 ,$101.33 ,2009
TheProposal ,Comedy ,Disney ,74 ,7.8675 ,43 ,$314.70 ,2009
TheInventionofLying ,Comedy ,WarnerBros. ,47 ,1.751351351 ,56 ,$32.40 ,2009
TheHeartbreakKid ,Comedy ,Paramount ,41 ,2.129444167 ,30 ,$127.77 ,2007
TheDuchess ,Drama ,Paramount ,68 ,3.207850222 ,60 ,$43.31 ,2008
TheCuriousCaseofBenjaminButton ,Fantasy ,WarnerBros. ,81 ,1.78394375 ,73 ,$285.43 ,2008
TheBack-upPlan ,Comedy ,CBS ,47 ,2.202571429 ,20 ,$77.09 ,2010
Tangled ,Animation ,Disney ,88 ,1.365692308 ,89 ,$355.01 ,2010
SomethingBorrowed ,Romance ,Independent ,48 ,1.719514286 ,15 ,$60.18 ,2011
She'sOutofMyLeague ,Comedy ,Paramount ,60 ,2.4405 ,57 ,$48.81 ,2010
SexandtheCityTwo ,Comedy ,WarnerBros. ,49 ,2.8835 ,15 ,$288.35 ,2010
SexandtheCity2 ,Comedy ,WarnerBros. ,49 ,2.8835 ,15 ,$288.35 ,2010
SexandtheCity ,Comedy ,WarnerBros. ,81 ,7.221795791 ,49 ,$415.25 ,2008
RememberMe ,Drama ,Summit ,70 ,3.49125 ,28 ,$55.86 ,2010
RachelGettingMarried ,Drama ,Independent ,61 ,1.384166667 ,85 ,$16.61 ,2008
Penelope ,Comedy ,Summit ,74 ,1.382799733 ,52 ,$20.74 ,2008
P.S.ILoveYou ,Romance ,Independent ,82 ,5.103116833 ,21 ,$153.09 ,2007
OverHerDeadBody ,Comedy ,NewLine ,47 ,2.071 ,15 ,$20.71 ,2008
OurFamilyWedding ,Comedy ,Independent ,49 ,0 ,14 ,$21.37 ,2010
OneDay ,Romance ,Independent ,54 ,3.682733333 ,37 ,$55.24 ,2011
